%,persen
&,dan
/,atau
@,di
+,tambah
=,sama dengan
22nya,dua duanya
7an,tujuan
a moral,amoral
a susila,asusila
a/n,atas nama
aaaaaaakkk,ah
aaaaahhhh,ah
aaaahhh,ah
aaaammmiiiinnnn,amin
aaahh,ah
aaamiiin,amin
aaamiiinnn,amin
aaamin,amin
aahh,ah
aama,sama
aamien,amien
aamiiiiinnn,amin
aamiiiinnnnn,amin
aamiiin,amin
aamiin,amin
aamiinin,amin
aamiinnn,amin
aamin,amin
ababil,abg labil
abal,palsu
"abal""",abal abal
abal2,abal abal
abanggg,abang
abanggku,abangku
abeees,habis
abes,habis
abez,habis
abg,abang
abgnya,abangnya
abgnyaah,abangnya
abiiiiisssss,habis
abiiiss,habis
abis,habis
abis2,habis habis
abisan,habisan
abisnya,habisnya
abiss,habis
abisss,habis
abiz,habis
abizzz,habis
abizzzz,habis
abjat,abjad
abs,habis
acc,accord
accept,terima
acceptable,dapat diterima
accesories,aksesoris
accomplished,tercapai
accord,sesuai
account,akun
aceptable,dapat diterima
acesories,aksesoris
acomplished,tercapai
acr,acara
acra,acara
action,akting
ad,ada
ada kalanya,adakalanya
ada2,ada ada
adaa,ada
adain,mengadakan
adakh,adakah
adala,adalah
adalh,adalah
adapin,menghadapi
adax,adanya
add,ada
address,alamat
adduuhhh,aduh
ade,ada
adeeek,adek
adek,adik
adek2,adek adek
adekx,adeknya
adem,sejuk
adem ayem,tenang
ademm,adem
ademmm,adem
adengan,adegan
adenya,adeknya
adeuh,aduh
adiik,adik
adin,adakan
adkah,adakah
adl,adalah
adlah,adalah
adlh,adalah
admin,administrator
adminostrasi,administrasi
adoh,aduh
aduhh,aduh
aduhhh,aduh
aduhhhhhhhhh,aduh
aduuh,aduh
aduuhh,aduh
aduuhhh,aduh
aduuhhhh,aduh
aduuuh,aduh
adyem,adem
adzan,azan
ae,saja
aee,saja
aelah,alah
aer,air
af,sekali
afaik,as far as i know
afalah,adalah
afdol,afdal
affiliator,berafiliasi
affordable,terjangkau
afiliator,berafiliasi
afordable,terjangkau
aga,aja
agama'ny,agamanya
agamanye,agamanya
agan,juragan
agan2,agan agan
agenbola,agen bola
agenslot,agen slot
agent,agen
agiah,kasih
agk,agak
agma,agama
agree,benar
agribisnis,agrobisnis
agta,anggota
aha,tertawa
ahaha,haha
ahahahanjirrr,anjir
ahh,ah
ahhh,ah
ahhhh,ah
ahiok,ahok
ahir,akhir
ahiri,akhiri
ahlix,ahlinya
ahokncc,ahok
ahsuuudahlah,sudahlah
aing,saya
aj,saja
aja,saja
ajaa,aja
ajaaa,saja
ajaaahhhhh,saja
ajah,aja
ajahhh,saja
ajaibb,ajaib
ajaibbbbb,ajaib
ajakin,mengajak
ajarin,ajarkan
aje,aja
ajep ajep,dunia gemerlap
ajep-ajep,dunia gemerlap
ajh,saja
ajha,saja
ajhh,saja
ajibb,ajib
ajj,saja
ajja,saja
ajjh,saja
ajuan,acuan
ak,aku
aka,dikenal juga sebagai
akau,aku
akbat,akibat
akherat,akhirat
akhirt,akhirat
akhirx,akhirnya
akhlah,akhlak
akhlaq,akhlak
akhli,ahli
akhrt,akhirat
akhrx,akhirnya
akika,aku
akirnya,akhirnya
akko,aku
akkoh,aku
akku,aku
akn,akan
akooh,aku
aksesori,aksesoris
aksesoris,aksesori
akte,akta
aktifis,aktivis
aktifitas,aktivitas
aktip,aktif
aktiv,aktif
aktuil,aktual
aku,saya
akuh,aku
akuhh,aku
akung,akun
akutuh,aku tuh
akuu,aku
akuuu,aku
akuuuur,akur
akuwh,aku
akyu,aku
ala2,ala ala
alaami,alami
alak,kepala
alakadar,seadanya
alamii,alami
alamiii,alami
alay,norak
albm,album
alesan,alasan
alfa,alpa
alhamd,alhamdulillah
alhamdulillaaaaah,alhamdulillah
alhamdulillah,alhamdulilah
alhmadlah,alhamdulilah
alhmdhl,alhamdulilah
alhmdl,alhamdulilah
alhmdlah,alhamdulilah
alhmdlh,alhamdulilah
alhmdllh,alhamdulillah
alhmdulah,alhamdulilah
alissnyaa,alisnya
aljasa,asal jadi saja
alkhamdulilah,alhamdulillah
allaahh,allah
allahh,allah
allahhhh,allah
allahhhhhhh,allah
allhmdullilah,alhamdulillah
alloh,allah
alm,almarhum
almaidahyg,almaidah
almh,almarhumah
aloh,allah
alow,halo
alpokat,avokad
alpukat,avokad
alu,aku
am,sama
ama,sama
amaattt,amat
amad,amat
amandemen,amendemen
amatt,amat
amazing,luar biasa
ambilin,ambilkan
ambl,ambil
amboradol,amburadul
ame,sama
ameen,amin
amen,amin
amerik,amerika
amfun,ampun
amiend,amin
amienn,amin
amiennn,amin
amiennnn,amin
amiien,amin
amiiiiiiiiiiiiiiiiin,amin
amiiiiiiiiiiin,amin
amiiiiiiiiiinnnnnnn,amin
amiiiiin,amin
amiiiiinnn,amin
amiiiiinnnnn,amin
amiiiin,amin
amiiin,amin
amiiinn,amin
amiiinnn,amin
amiiinnnn,amin
amiin,amin
amiinn,amin
amiinnn,amin
amiinnnn,amin
amin2,amin amin
aminn,amin
aminn2,amin amin
aminnn,amin
aminnnn,amin
aminnnn2,amin amin
aminnnnn,amin
amit2,amit amit
ammiiin,amin
ammin,amin
amohhh,kamu
ampe,sampai
amphibi,amfibi
amploppp,amplop
ampunn,ampun
ampunnnn,ampun
ampunnnnn,ampun
ampuun,ampun
ampuunn,ampun
ampuuun,ampun
ampuuunn,ampun
ampyunnnn,ampun
amrik,amerika
amu,kamu
amuba,ameba
"anak""",anak anak
anak2,anak anak
anak2e,anak anaknya
anak2mu,anak anakmu
anak2nya,anak anaknya
anakjudi,anak judi
anakn,anak
anaknnya,anaknya
anakny,anaknya
anakx,anaknya
anak'y,anaknya
analisa,analisis
analisise,analisis
anarkhi,anarki
anccoorrr,hancur
ancman,ancaman
ancorr,hancur
ancur,hancur
ancurrr,hancur
ancuur,hancur
ancuuurrrr,hancur
and,dan
anda,kamu
andaaa,anda
andai pun,andaipun
andri,antre
ane,saya
aned,banget
anedh,banget
aneed,banget
aneeh,aneh
aneh2,aneh aneh
anehhh,aneh
aneut,banget
anget,hangat
angg,anggota
anggauta,anggota
angis,nangis
anj,anjing
anjaaaayyyyyy,anjay
anjaayy,anjay
anjay,anjing
anjayyyy,anjay
anjeng,anjing
anjenk,anjing
anjerr,anjir
anjg,anjing
anjiigg,anjing
anjiingg,anjing
anjingggg,anjing
anjingnyaa,anjingnya
anjir,anjing
anjirr,anjir
anjirrr,anjir
anjirrrr,anjir
anjjjjjjjj,anjing
anjlog,anjlok
anjrit,anjing
ank,anak
"ank""",anak anak
ank2,anak anak
ank2nya,anak anaknya
ankknyaaa,anaknya
anknya,anaknya
ankx,anaknya
annnnjjjjjjrrrr,anjir
antar negara,antarnegara
antar warga,antarwarga
antek,pengikut
anter,antar
anterin,antar
antirungkat,anti rungkad
antra,antara
antri,antre
antum,kamu
anugrah,anugerah
anyeng,anjing
anying,anjing
anyway,ngomong ngomong
aowkaowkowk,tertawa
aowkwowkwowk,tertawa
ap,apa
ap2,apa apa
apa bila,apabila
"apa""",apa apa
apa2,apa apa
apa2nya,apa apanya
apaa,apa
apaaa,apa
apaaan,apaan
apaalahh,apalah
apaan,apa
apah,apa
apain,apai
apakh,apakah
apal,hapal
apalagiii,apalagi
apalai,apalagi
apalg,apalagi
apalgi,apalagi
apasih,apa sih
apasihhh,apasih
apdate,update
apdet,pembaruan
ape,apa
apek,apak
apelagi,apalagi
apes,sial
aph,apa
apik,bagus
apikkkk,apik
apk,apakah
apkah,apakah
apkh,apakah
aplg,apalagi
aplgi,apalagi
aplikasiin,mengaplikasikan
aplks,aplikasi
aplot,unggah
apo,apa
apotik,apotek
appa,apa
applikasi,aplikasi
apriasi,apresiasi
aprsiasi,apresiasi
aps,apa
apt,apartemen
apun,apapun
apus,hapus
apva,apa
aq,aku
aqnya,akunya
aqu,aku
aquwh,aku
ar,amien rais
arab2,arab arab
arghhh,ah
aritmatika,aritmetika
"artis""",artis artis
artis2,artis artis
artisnyaa,artisnya
"artist""",artis artis
artix,artinya
asa,ada
asal-usul,asal usul
asap,sesegera mungkin
asbun,asal bunyi
aseek,asyik
aseekk,asyik
asek,asyik
asekk,asyik
aseknya,asyiknya
asem,asam
aseng,asing
asik,asyik
asikkk,asik
asiknyaa,asyiknya
asliii,asli
asliiii,asli
asliiiii,asli
aslinyo,aslinya
aslm,assalamualaikum
asoy,asyik
aspal,asli tetapi palsu
asslm,assalamualaikum
astafirullah,astagfirullah
astagaa,astaga
astagaaa,astaga
astagaaaa,astaga
astagaaaaaa,astaga
astagaaaaaaaa,astaga
astagfirrullah,astagfirullah
astagfirullh,astagfirullah
astauviruloh,astagfirullah
astgfrlh,astagfirullah
astgfrullah,astagfirullah
astrojim,astagfirullahaladzim
astul,asal tulis
asuuu,asu
asyikkk,asyik
asyikkkkk,asyik
atao,atau
atasanx,atasannya
atassan,atasan
atassss,atas
atau pun,ataupun
ath,kalau begitu
atheis,ateis
atheist,ateis
ati,hati
"ati""",hati hati
ati2,hati hati
atlit,atlet
atm,anjungan tunai mandiri
atmosfir,atmosfer
ato,atau
atou,atau
ats,atas
atsiri,asiri
attitude,sikap
atu,satu
atuh,kalau begitu
atuhh,atuh
atuhhh,atuh
atutt,takut
atuu,satu
atw,atau
au ah,tidak mau tahu
aurot,aurat
automotif,otomotif
autuhh,tau tuh
ava,avatar
awaaas,awas
awaas,awas
awak,saya
awakdhewe,kami
awal2,awal awal
awam,biasa
awass,awas
awesome,luar biasa
awk,awak
awl,awal
awoohhh,allah
aws,awas
ay,aku
ayahh,ayah
ayang,sayang
ayank,sayang
ayok,ayo
ayoklaa,ayolah
ayoo,ayo
ayook,ayo
ayookk,ayo
ayoolah,ayolah
ayooo,ayo
ayoook,ayo
ayoookkkkkk,ayo
ayoooo,ayo
ayooook,ayo
ayuk,ayo
ayukk,yuk
ayulah,ayolah
aza,aja
azaab,azab
azas,asas
azeeeek,asik
azekkkk,asik
b2,berdua
b2an,berduaan
b3,bertiga
b4,sebelum
baaaaaang,bang
baaiikkk,baik
baang,bang
baanget,banget
baanggeettt,banget
babe,bapak
babget,banget
babik,babi
babon,babun
babtis,baptis
baca2,baca baca
bacaaaa,baca
bacahalah,bacalah
bacain,bacakan
back,kembali
backgroundnya,latarbelakangnya
bacot,banyak bicara
bacotin,bacoti
bacotnye,nyinyirnya
bad,jelek
badaaiii,badai
badaii,badai
badingkan,membandingkan
bae,baik
bae2,baik baik
baek,baik
baek2,baik baik
bag,bagian
bagaatt,banget
bagai mana,bagaimana
bagaimana pun,bagaimanapun
bagaimanaaa,bagaimana
bagaimna,bagaimana
baget,banget
bagi2,bagi bagi
bagiii,bagi
bagiin,bagikan
bagus2,bagus bagus
bagusnyeee,bagusnya
baguss,bagus
bagusss,bagus
bagussss,bagus
baguus,bagus
baguusss,bagus
baguuus,bagus
baguuuuus,bagus
bahahahahahahahaha,tertawa
bahas2,bahas bahas
bahasanye,bahasanya
bahawa,bahwa
bahlul,bodoh
baik2,baik baik
baik2nya,baik baiknya
baikk,baik
baikxa,baiknya
bajer,bazzer
bajir,banjir
baju.a,bajunya
baju2,baju baju
baju'a,bajunya
bakalan,akan
bakalandateng,akan datang
bakaln,bakalan
bakar2in,bakar bakari
bakattt,bakat
bales,balas
bales2in,balas membalas
balesannya,balasannya
balesin,membalas
balikin,kembalikan
balikinnya,mengembalikannya
balikx,baliknya
ban,dilarang
bandarbola,bandar bola
bandes,bantuan desa
bandingin,bandingkan
bang,abang
bangat,banget
bangcat,bangsat
bangdes,pembangunan desa
banged,banget
bangedd,banget
bangedh,banget
bangedt,banget
bangeeeeetttt,banget
bangeeeet,banget
bangeeet,banget
bangeeettt,banget
bangeer,banget
bangeet,banget
bangeets,sekali
bangeett,banget
bangeettt,banget
banger,banget
banget,sekali
bangets,banget
bangett,banget
bangettt,banget
bangetttt,banget
bangettttt,banget
bangetttttt,banget
bangettttttt,banget
bangetttttttt,banget
bangetttttyt,banget
bangg,bang
"bangga""in",membangga banggakan
bangga2in,membangga banggakan
banggain,banggakan
bangget,banget
banggett,banget
bangke,bangkai
bangkotan,tua
bangkret,bangkrut
bangkrutt,bangkrut
bangrt,banget
bangrut,bangkrut
bangs,bangsa
bangsattt,bangsat
bangshad,bangsat
bangt,banget
"bangt""",banget banget
banguuunn,bangun
banhet,banget
banned,dilarang
banpol,bantuan polisi
banpres,bantuan presiden
banpur,bantuan tempur
bansarkas,bantuan sarana kesehatan
bante,bantai
bantuanny,bantuannya
bantuim,bantu
bantuin,bantu
banx,bang
banyaaaaaak,banyak
banyaaaak,banyak
banyaak,banyak
banyaakkk,banyak
banyak2,banyak banyak
banyakin,membanyaki
banyangin,banyangkan
banyk,banyak
bapake,bapak
bapakx,bapaknya
bape,bawa perasaan
bapeeeer,bawa perasaan
bapeerr,bawa perasaan
baper,bawa perasaan
baperr,bawa perasaan
bapk,bapak
bapuk,rusak
baraang,barang
barang kali,barangkali
barang2,barang barang
bareng,bersama
barengg,bareng
baru2,baru baru
baruu,baru
bas,bass
basbang,basi
basodaraa,bersaudara
bat,banget
batabig,lempar bata
batere,baterai
batesin,batasi
bathin,batin
batikk,batik
batre,baterai
battt,banget
batwc,banget
"bawa""",bawa bawa
bawa2,bawa bawa
bawak,bawa
bayangin,bayangkan
bayarin,bayarkan
bazengg,bajingan
bazis,badan amal
bbicara,berbicara
bbm,bahan bakar minyak
bbr,beberapa
bbrap,beberapa
bbrp,beberapa
bbrpa,beberapa
bc,baca
bca,baca
bcanda,bercanda
bcnda,bercanda
bcoz,karena
bcr,bicara
bdampak,berdampak
bdampingan,berdampingan
bdan,badan
bdg,bandung
bdn,badan
bdng,bidang
bea siswa,beasiswa
beati,berarti
beaya,biaya
beb,sayang
bebal,bodoh
bebeb,pacar
beberkan,sampaikan
bebrp,beberapa
becus,mampu
beda2,beda beda
bedaa,beda
bedaaa,beda
bedain,bedakan
bedainnya,membedakannya
bedakin,bedak
bedanyaaa,bedanya
bedua,berdua
beduitt,berduit
beebaas,bebas
begajulan,nakal
begete,banget
begho,bodoh
begin,awal
beginii,begini
beginiiii,begini
bego,bodoh
begok,bego
bejad,bejat
bejibun,banyak
bejilbbnya,berjilbabnya
bejudi,berjudi
beking,dukungan
bekrja,bekerja
bela sungkawa,belasungkawa
"bela""in",membela bela
bela2in,membela bela
belaa,bela
belagu,sombong
belaiinn,belain
belain,membela
belanjaa,belanja
beliiin,belikan
beliin,belikan
belio,beliau
beliu,beliau
bellain,membela
belom,belum
belon,belum
belooomm,belum
beluumm,belum
beluurr,belur
benahin,membenahi
"benar""",benar benar
benar2,benar benar
benarin,membenarkan
benarjujur,benar
bencan,bencana
bencong,banci
benda2,benda benda
bendugan,bendungan
bener,benar
"bener""",benar benar
bener2,benar benar
benera,benaran
beneraan,benaran
beneran,benaran
benerin,benarkan
benernya,benarnya
benerr,benar
benerrrr,benar
benet,benar
benetaran,benaran
bengkak2,bengkak bengkak
bengkokin,bengkokkan
benneeeeeerr,benar
bentar,sebentar
bentarr,bentar
ber2,berdua
ber3,bertiga
berangat,berangkat
berani2,berani berani
berantem,berkelahi
berarto,berarti
berati,berarti
